dialogue_id,query,ground_truth_response
52,Dad , where are we off to ?   First we will go to the city centre and stop for something to drink . Then we will visit the University Museum .   Where are we going to have a drink ?   There is a coffee shop round the corner . Can you see that big building at the end of the road ?   Yes ?   That is a bank . The coffee shop is opposite the bank .   Good . I will have hot chocolate .   A stop ! Wait for the lights to turn green .   When crossing the road you must always pay attention to what's around you .   Sorry . How far is the museum ?   I am not sure . We will ask for directions in the coffee shop .   Here we are . You find us a table and I'll get the drinks . 
7563,Can you offer me something a little cheaper ?   Well , let me see . What price range do you have in mind ?   I want to stay under $ 20 .   How about this one ? This is just $ 20 . It's worth every penny of it . 
8996,What a washing machine ! It ’ s getting worse today . Look ! Now it doesn ’ t work at all . I think I need a new one .   Here ’ s an ad . about a big sale of washing machine . Do you want to see it ?   Of course ! Let ’ s have a look . Great ! In my frame of mind , I ’ d like to but one today . 
4635, I have my backpack and my camera tripod .   I see . All carry-on items must be able to fit under the seat or in the overhead bin .   Both my items will fit under the seat or in the overhead bin .   You will need to send the tripod as luggage because it is too long to fit in our gauge box for carry-on items .   I cannot let anything happen to that tripod.Can you guarantee it will not be damaged if I check it in ?   No , I can't . Perhaps your stewardess will help you to find a place to store it .   Good idea . I will ask the stewardess to help me store my tripod . 
5379, Mr . Sun . I'll let you know the result of the interview as soon as possible . Goodbye .   Thank you , Mrs . Smith . I do hope the answer will be favorable . Goodbye . 
7389, if you aren't doing anything tonight , why don't you come over and have dinner at my place .   That'd be great . Thanks ! What time should I come over ?   How about at 6 pm ?   See you then ! 
7052, OK ?   Sure . Just a minute . Let me take my camera out .   What's the matter ?   I'm not sure .   Is it broken ?   I hope not ! Oh , I see .   What is it ?   The batteries are worn down . I need replace them .   Where can we get batteries ?   All photography shops carry them .   OK . Let's take a walk and look for a shop that does . 
3684, that is a lot of choices . What is your favorite ?   I love anything with chocolate the best .   I like chocolate myself .   Is there any kind of ice cream you don't like ?   I really don't like any ice cream with nuts in it .   I haven't ever cared for that myself .   Have you ever had garlic ice cream ?   That sounds absolutely disgusting !   It was . Let's stick with the regular choices today , though . 
1163, he indeed likes me .   But I think he can't hold a candle to you . I don't think he has ever popped the question .   No , he is the sort of man who likes to hide his candle under a bushel . 
8916,No dialogue,No response
5820, Paulo . How are things going ?   Everything's going very well . The first phase of the project was finished three days ahead of schedule . We're on target to complete phase two by the beginning of week 40 .   That's good news . What stage are you at now ?   Well , we've just finished laying the cabling and we're waiting for the safety inspector to give us the go-ahead to continue . I'm just going to meet him . Do you want to come ? 
1667, we ’ re old friends .   Anyway , I owe you one . Are you free tonight ?   Yes . Why ?   I want to invite you to enjoy the food I cook .   That ’ s great . I'd love to . 
3847, do we still have a meeting this afternoon ?   Sure , when those never ending meetings . 
8366,Excuse me .   Yes ?   Could I have one more blanket ?   I'm afraid there aren't any left at the moment . Gan you wait just a little while ?   OK . I will .   I'll bring you one as soon as I find one available .   Would you , please ? Thank you . 
2310,What is that you have there ?   Aah ! Close your eyes . You aren't supposed to see this .   Ah ha ! I caught you . Just let me peek . I won't tell anyone .   You can't peek ! This is a surprise .   How about one little hint ?   Here's one little hint . If you don't go out right now , this won't be under the tree .   That's a very good hint .   And please shut the door and lock it behind you ! 
3528, so I think more of Bellini and Botticelli !   Ah , yes . The Italians do love the sensual forms of the human body .   Don't we all ... hey ! Your cousin sells gift items ?   Yeah-all from Italy . See all the saints ? They're important to Roman Catholics . 
5594, Mr . Farmington . But , I ’ m not sure that I should bring this up with him . I think it would be better if you spoke to him .   All right . Leave these ads with me . I ’ ll speak to him this morning . 
6000,No dialogue,No response
9829, I see .   Mr.Smith is sending his apologies and has asked me to find out if the day after tomorrow would be all right with you .   Yes , that will be just as good .   Then shall we make it nine o'clock the day after tomorrow morning ?   All right . Then I can do some shopping today before going back to my country . 
10447,Has everything been OK with you lately ?   I haven ’ t been able to get a good night ’ s sleep lately . I ’ m exhausted !   Have you been too busy to get enough sleep ?   I try to go to sleep , but I just can ’ t stay asleep .   How late do you try to go to sleep ?   I go to bed when I finish my work .   Has anything in your day-to-day life been bothering you lately ?   I am worried about how I am going to pay my tuition .   You might consider listening to relaxing music as you go to sleep to clear your head .   Doing something relaxing before I go to sleep sounds like a plan . 
2473, I have an elder sister . She is married .. Her husband is a businessman .   Do they live with you and your parents ?   No , they live alone . 
6970,Will you give me a hand , sir ?   By all means .   Thank you very much .   You're welcome . 
7696, you can learn a lot from them .   Learn a lot ? Really ?   Absolutely . And it's a good way to kill time during the tour .   Do you have magazines now ?   Yes , I do .   Can you lend me one ?   Sure . Here you are . 
3125,No dialogue,No response
7097, you can ’ t do it until tomorrow , and I need it fixed now .   That ’ s true .   You ’ re okay with me calling someone ?   I ’ m all right with that . 
324,No dialogue,No response
3407, pained toys and colored electric lights along the branches and plays all the gift packages under it .   Woo , your home will beautiful on Christmas .   Sure our thing .   I do wish your christmas and happy new year .   Thanks . 
4285, buddy , you are so kind . Thank you !   Not at all ! 
8803, I will have more beer , please .   Don't worry.We will come back again a little later . 
9557, I ’ ll ask my plumber to come by and fix it today . What else ?   One of the burners on the stove doesn ’ t work .   What ’ s the matter with it ?   I can ’ t control the temperature .   I ’ ll get an electrician to repair it as soon as possible . Is that everything ?   Well , there ’ s one more thing . The telephone is dead .   I ’ m sorry . There ’ s nothing I can do about that . You ’ Ve got to call the phone company .   Okay . Thank you very much .   You ’ re welcome . 
7433, the bus doesn ’ t go there directly.You have to take the No . 26 bus for five stops and then change to a No . 16 bus and get off at the third stop.When you get off , you can see the bank .   How long will it take me to get there ?   It ’ s about an hour .   I see.Thank you .   Not at all . 
854, the airport is quite far from the downtown area , but it is still more convenient than taking the train . 
8495,Where do these flower vases come from ?   They are made a town nearby . The flower vases are made of porcelain and covered with tiny bamboo sticks .   Are they breakable ?   No . They are not only ornamental , but also useful .   No wonder it's so expensive . 
6594, thank you very much . In addition , do you have the marketing proposal ready ?   The proposal is being repaired right now and I think it will be ready by tomorrow morning . 
8798, I ’ d buy that now while it ’ s on sale . If you spend more than $ 100 , you get a $ 50 voucher for more clothes .   it ’ s too bad I did all that shopping yesterday ! 
3977, just as long as you realize that red means no parking and white means loading and unloading , I think you know what you need to know . 
4345, but I have to get going .   Same here ! We will catch up soon , maybe over coffee !   That would be great ! Give me a call !   See you soon ! Bye ! Egg ... I can ’ t stand that woman or her obnoxious daughter . 
10244, Mr.Forester .   When do you start the payment then ?   We'll start our payment in half a year and the total amount will be paid off within 2 years by three installments .   We can accept that but you have to pay the interest .   All right .   Shall we sign the agreement now ?   Ok , let's sign it . 
4616,Hey , you have been promoted to president of the department .   All this is thanks to the efforts of my superiors and colleagues .   You are so smart . Your efforts in the success of the plan were outstanding .   I just did what I should have done .   You ’ Ve got a great personality .   Thank you for your compliments . I will try even harder to repay the company and your support .   I believe you will . I ’ m very pleased with your work . Your promotion will contribute to the development of the company .   Thanks for saying so . 
6100, you want a convertible sofa . This way , please . Over there is the one you want . 
8274,Linda , it's really late . Let's call it a day .   Good idea . We can finish this project the first thing tomorrow morning .   Sure thing . Do you want me to give you a ride home ?   That ’ s great . Thanks for the ride . I really appreciate 1 it . You know my car is still in the shop .   Don't mention it . It ’ s my pleasure .   It's very nice of you . 
8311,No dialogue,No response
9823, I don't know which one to choose . I think maybe you can help me .   Well , I recommend you to choose the 100 % cotton .   I will take your advice . 
2696, really good time around the fire singing and dancing .   How many members were in your party in all ?   There were six of us .   Did you get caught in the bad storm ?   Yes , we got wet through . But we still enjoyed ourselves . 
1124, may I ask ?   My mother works in a company as an accountant .   Is she busy ?   Not always , she's rather busy at the end of the year . 
1507,What part did you get in the play this time ?   I got a character part — some old lady who shows up in a few scenes .   I wish I had a character part . Those are my favorite .   Are you kidding ? You got the leading role .   I know , but I've done that so Ay times . It's getting old . The leading guy is always the same macho A .   I would trade you if I could but I don't think I'd be a very convincing macho A .   Next time . You are going to love your part . I've seen the script .   I do a good old lady . I wouldn't mind being the damsel in distress once in a while . 
1679,Write down your name here in ink .   But I don ’ t have a pen with me . May I use a pencil ?   I ’ m afraid a pencil won ’ t do . Wait a moment , I ’ ll find you one . 
3364, let's stop dragging our feet and find a Sichuan hot pot restaurant for dinner !   Let me think about it for a minute . Let's see ... oh the name of the restaurant is on the tip of my tongue ! Give me a second and it'll come to me .   Well ... ? Have you thought of it yet ?   No ...   Never mind . There's an authentic tasting hot pot restaurant not far from the China World Trade Towers on Chang An Street . Have you been there ?   That's it ! That ’ s the one I was thinking of ! I told you I'd remember it !   You really have a big head , don't you . 
3702,No dialogue,No response
5978, I was pick-pocketed and not only did you replace my Traveller's Cheques for free , you also did it extremely quickly and easily . 
1768, that is my job .   Well , I want to let your boss know that she ’ d better hold on to you ! You ’ re a hard worker ! 
10312,000 yuan ?   The price can be talked over . How about coming around and taking a look at it first ?   OK . I will be free tomorrow afternoon . I'll take a taxi to get there . See you .   All right , see you . 
3127, then we'll go to Sichuan by air , after that we'll be leaving for Tibet .   How long will the trip take ?   At least 20 days . 
4178,Well , what brings you here ?   I came to see my aunt .   Does she live nearby ?   Yes . She lives on the next block . 
8694, they will request HR to find candidates .   Yes ?   The Engineering Manager and his team will interview the candidates . HR will also be involved with the interview , but basically arranging the schedule and explaining the benefits .   OK .   Then the Engineering Manager will choose the candidate .   I see . 
10446, I'll see you at 6 o'clock . Do you need any directions ?   No , thanks . I already drove by to see what the neighborhood looks like .   I'll have an application form with me . You can fill it out if you're interested .   Should I bring anything with me ?   No . I only need to check your driver's license . 
1707, the only thing I worried about is the safety . I ’ m not an active exerciser and my muscle may be not strong enough for such an intense sport .   Well , Then you can go to the three-day-long training camp first . There ’ re some professional teachers and they can guide you to do certain necessary exercise .   I will think about it .   Come on ! It is really a fun game . 
1248, right ?   No . Just occasionally .   What are your favourite dances ?   I love rumba and waltz .   How about samba ?   To tell the truth , I don't like it . It's too fast .   Then I'll see you at six . Is that all right ?   OK . See you then .   See you then . 
1066,No dialogue,No response
5903,No dialogue,No response
1807, I'm not . What are you planning to do ?   I'm going to see a musical . Would you like to come ?   Sure , I'd love to ! But let me pay for the tickets this time . It's my turn .   All right ! Thanks ! 
5777, but this week is crazy for me . Can we make it next Monday ?   Ok , see you 10 o'clock next Monday !   That's fine . See you then . 
7166, Joan , I have something important to tell you . 
2775, right ?   I did but now I ’ m for Microsoft . How are things with you ?   Good .   May I know what you do ?   I ’ m a fashion designer . Next month , I have a fashion show . I ’ d love it if come . I can get you a couple of tickets . So you can bring a friend if you like .   Sure . That would be great . Good luck .   Thank you . 
8266, please ?   Shone . And one of my friends ' name is Jessie .   OK , please wait for a moment . 
9963, it seems that way to me also .   How are your vegetables ?   My vegetables are very soggy .   Mine are the same way . It seems like they've been overcooked .   I don't usually complain , but I think that we should mention this to the waiter .   I agree . Maybe they can bring us some better food . 
3336, how can I help you ?   I want to know if I am doing OK .   Let's pull out your scores so far . Do you think you are doing OK ?   I am afraid that I might not be doing all that well .   I'm seeing that you are doing OK in some areas , but not so well in others .   I think I could take better notes and read a little more .   You can greatly improve your grades by always reflecting on what you can improve on .   I'm working on it !   Just do your best and I am sure that you will see improvement . 
1836, she's right over there . Oh , Sheryl ! 
7479, there ’ s no rush . Please send it via priority mail . Please be extra careful , the contents of the package are fragile . 
1530,No dialogue,No response
7631, it's a good company . But the management changed last month . We didn ’ t get along , so I quit .   I understand . Why would you like to join our company ?   I'm qualified for this position . And I've heard a lot of good things about your company .   Like what ?   You take care of your employees . And your company offers good salaries and benefits .   that's good to know . Why do you think you ’ re qualified for this position ?   I've got over seven years ' experience working in this kind of position . I know I can do a good job in this position . 
2285, I'll cancel your appointments for today . And I'll tell Mr . Morley .   Thanks , Ann . Talk to you this afternoon .   Hope you feel better . 
1144, you will always know how long you can park and what days are OK to park there . Are you aware of the curb colors ?   What curb colors ?   If you can remember that red means absolutely no parking and white means that you can only load and unload , you are going to be OK . 
6325, they ’ ll get bored and misbehave .   They could go out and play with their friends .   Sure . You could talk to other parents in your neighbourhood and plan it so that all the kids are free at the same time .   Perhaps I could ask my husband to teach them foot ball or some thing . He watches too much tv too .   That ’ s a good idea . Remember that if the parents watch too much tv , the kids will probably follow suit . 
8658,How many hours do you work a week ?   I do a forty-hour week . I ’ m on flexi-time . I usually start work at 8 a . m . and finish at 4   And how many weeks holiday do you get a year ?   Four - plus public holidays . I usually take two weeks off in the summer and the rest at New Year .   Do you do overtime ?   Yes , if we're busy . I'm paid double-time if I work at weekends . 
7385,Will you introduce me to the new colleague ?   Haven't you met yet ?   No , we haven't .   I'll be glad to do it . 
7402,No dialogue,No response
7975, and if any discrepancy is found , the claim must be raised within one month .   I see . How do they make testing and analysis of this item ?   They always use the standard and method laid down in the contract .   What if the results from the two inspections do not coincide with each other ?   A seminar of technical specialists including the surveyors from both sides will be held to clarify which result is correct . 
1786,I feel pity for the old man .   I feel the same way .   It must be dreadful to grow old .   It sure is.He has no one to turn to , very miserable indeed . 
6248, sir . I'll get them for you right away . Would you please sign this bill first ? Thank you , sir . 
9706, or ordinary berth ?   In a cushioned sleeper , please . 
4919, and I like to learn new things .   Do you think you are introverted or extroverted ?   I am quite outgoing , I think .   How do you get along with people whose characters are different from your own ?   I try to adapt myself . 
2117, whereas private schools usually get their funding elsewhere .   Which is better ?   One isn't necessarily better than the other . It depends a lot on the school administration and the teachers .   I hear you have to wear uniforms at private schools .   Yes , sometimes . 
1537,No dialogue,No response
4895, too .   I can ’ t believe people voted for him .   People must want him as our President .   That doesn ’ t make any sense .   I have more bad news .   How could the news get any worse ?   I was only kidding , because Obama won the election .   That ’ s great news ! 
1412, isn't he ?   That's the one . He also was famous for never giving up on his goals .   That's right . He ran for office quite a few times before he was finally elected .   And I also admire him for his courage in fighting for equal rights .   He had great vision , didn't he ?   And humility . I would have liked to meet him personally . 
6572, this is the latest model.If you like it , you can try it on . 
9730,Could you tell me your education background ?   Sure . Where shall I begin ?   Where did you go to university ?   I went to the university of Ohio , in America .   What degree did you get ?   I got a bachelor ’ s degree .   What was your major ?   I majored in English and minored in Chinese .   What was you G . P . A ?   I graduated with honors ; I had a 3.9 .   Do you plan to pursue further education ?   Yes . I ’ d like to obtain a master ’ s degree in international relations .   When do you think you will do that ?   After I have 3-4 years of work experience .   I see . 
9407, I'll give you a call .   Thanks very much . I'm sure I'll be back , so see you again soon . Bye ! 
1746, I ’ m ready to transfer .   You ’ re not nervous , are you ?   I ’ m very nervous .   Why are you nervous ?   I ’ m not going to know anybody there .   That ’ s not a problem .   That makes me nervous .   It ’ s fun meeting new people .   I didn ’ t think about it that way . 
6349,No dialogue,No response
3969, but let's try to forget that and be friends .   Have you made the decision yet ?   I think we'll be better off if we are apart .   Then shall we keep pure friendship ?   Sure , let's just be friends . 
3419, I can do that this afternoon .   Let's schedule the actual election times the week after the nominations . Doesn't that seem logical ?   Yes , let me put it on the calendar . 
10488,May I fix an appointment with Dr.Cui ?   Sure .   When will it be convenient for her ?   Any time is all right , except Sunday .   How about ten o'clock tomorrow ?   OK . I'll tell her . 
9114, there are basically two methods . One is to break down the chemicals in the plastic into smaller chemical particles . These can then be used in the production of new chemicals .   Is that the method you use here ?   No , we don't do that here . We recycle polyethylene and we make it into other products .   How do you do that ?   By melting it down and then reforming it . Our main products are bin liners for kitchen bins and carrier bags for supermarkets . 
9019, but I plan to do good things .   You don ’ t have plans to end up back here , do you ?   I have no plans on being back .   You don ’ t belong here .   That ’ s true .   Good luck with your life .   I ’ m going to be fine . 
2164,No dialogue,No response
1112, or engaged in leisure time activities , you always show the same eagerness and curiosity to learn something new and improve yourself .   It is important to keep your mind up-to-date and active . 
4574, please .   How long do you plan to stay ?   4 days .   Could you give me your name and phone number ?   Nancy Brown . My phone number ’ s 709 678 5634 . Nancy Brown 。   Thanks . What time will you arrive ?   Around 3pm .   Very good . Your reservation confirmation number is NB13579 . Thank you for booking in our hotel . Can I help you with anything else today ?   No , that ’ s it . Thank you very much . 
654,No dialogue,No response
9520, you might have opportunities to travel as well . Have you applied to any banks yet ? Our course will end soon .   Yes . I ’ Ve sent letters to several banks . A few have invited me for interviews after we take our examinations .   Well done ! I haven ’ t sent off any job applications yet .   Which field would you like to work in ? have you decide yet ?   I ’ d like to work in marketing . I think I could have a good career in that field .   Perhaps you should apply to banks as well . They need people to market their service . As you said , the banking industry pays well .   That ’ s great idea . Do you have the email address of human resource managers at any banks ? 
119,No dialogue,No response
949, as long as you don't try to kiss me at midnight !   Well , we can't break tradition ! It's bad luck ! 
4494, but just cannot find it . It's present from my father .   Well , here you are . Remember to put it in a proper place . 
168,No dialogue,No response
10068,Hello ? Can you give me a tow ? My tour car's stranded .   Sure . Where are you ?   I'm on highway 1-75 going near exit 46 .   What kind of car ?   It's a blue Nissan minivan .   Where are you going to ?   The closest garage . What's the charge ?   You are within 50 kilometers , so it's a 50 - dollar flat rate .   How long will it take ?   About 20 to 30 minutes .   Thanks . 
10188, despite its expensive entrees .   Great food and lots of patrons ? What more could I want ? Please reserve a table for me .   Yes , sir . You're going to have a great time . 
5615,No dialogue,No response
4050, it's ok . Check your email first ; I'll check my unbox later .   I'm surprised you don't use more of the features on your phone .   I'm surprised you know so much about it . Where's your phone ?   it quit working last week and I haven't had a chance to buy a new one yet .   how have you been living without a cell phone for a week ? hasn't it been driving you carry being without a phone ?   it's not that bad . It kind of feels like I'm on vacation , not having to answer my phone all the time !   let's go shopping . You can't depend on public phones in this day and age ! 
3077, But I believe there'll be rain , so take your raincoat with you . 
1532, don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box .   That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there . Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks .   You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? 
4573, so now it ’ s up to you to coach him . Make it work , Geoff ! 
9534, all right , relax . I am only trying to do my job .   I know . I am sorry that I yelled at you . 
6822, sir .   OK , I'll take one . 
10522,No dialogue,No response
8560,No dialogue,No response
5498,No dialogue,No response
10176, ma'am , they'll be ready for you in an hour . 
7220,I feel chilly and I've got a pain in my abdomen .   How long have you had it ?   Almost a week .   I think you've got a cold .   What should I do ?   I'll give you some medicine , and you will be better in a couple of days .   Thank you . 
3744, I would ask him if he himself was a successful man .   Nobody would drive him up a wall by asking him such a question , you know . 
9711, croutons , and almonds .   That sounds like a great salad .   Why don't you put it in your salad ?   That sounds like a plan to me . 
4474, please.And I'd like to start with soup .   We have clear and cream soup at your choice.Which one do you prefer ?   Clear soup , please . 
8799,OK . I just saw a Versace for thirty dollars . This stuff can't be real !   Most of it is . You should sign up .   I'm not sure I'd want to give these people my credit card number .   Didn't you read about Paypal and Bidpai ? They are very safe .   Sure , but it's so complicated . They asked for my credit card authorization number .   That's the last three or four numbers on the back of your credit card where your signature is .   I have trouble understanding all these forms ... but I'm sure I'll get it . 
9390, and he'll be lecturing about The impact of the Oil Crisis on Latin America .   Mmm , that sounds very interesting . 
3334, Tiger , run ! Somebody call animal control ! 
8592, I think I didn't like your method .   Well , have it your way . 
6817, other people will tell you the same thing .   Maybe you're right . Thanks , Don . I feel better .   I'm glad to hear it . 
7155, there is not , as far as I know . 
3088, and I found the cutest fat little copper Buddha ! It's over a hundred years old .   Please don't tell me you bought it .   Why not ?   If you did , you probably got ripped off . 
5908, please . That's being processed now . As soon as the account is set up , we can issue you with a card .   So quick and easy ! Thanks very much . 
2840, I ’ m doing okay . And how about yourself ?   Not so well . To be honest with you , I broke up with Tom .   Oh . I ’ m sorry to hear that . What happened ? 
6582,Taxi ! Taxi ! Could you help me load these luggage in the trunk ?   Let me just park my car in a better position . Alright , miss . Where ’ s the luggage ?   Over there . 
4475, please ?   The northern line is what you want .   How much is it ?   It ’ s two yuan .   Which way do we go for the northern line ?   Just go through the number eight to ticket barrier over there . A train will be in directly .   I appreciate it , thank you .   That ’ s all right . 
10462, thus the employer can know you very well , and then decide whether you are the right person .   You are very nice to tell me those .   I wish you good luck !   Thank you ! 
5093,No dialogue,No response
6737,No dialogue,No response
4995, but the termites will be harder to get rid of . We will have to cover the entire house and fu   No problem , just get rid of the bugs ! 
6573, half a year and one year .   perhaps one month . I'll just have a try at first .   wise decision . that is 400 yuan . You'll find it's totally worth it .   OK , I'll take it . 
1973, you've been working on this assignment for five hours .   Yeah , I need to take a break . 
1104, since you agree with me , we should put the issue above board instead of talking about it through other channels . 
4775,000 RIB , please . If that's possible .   No problem . Please fill in this transfer form that will authorise us to send the amount from the Securities Company to your account . 
5290, you'll ace that English test , right ?   OK . I get it . I'm getting back into bed ... 
10032, and $ 750 into our stock account .   $ 3075 . Our paychecks our $ 3300 , combined . That means we don ’ t have any receipts for $ 225 .   Right . 
5555,Did you listen to the weather forecast ?   No.Why ?   There ’ s a typhoon coming .   No way !   Yep , it should be here by tomorrow night . 
6437, what kind of cabin will I have ?   First class , sir . 
170,No dialogue,No response
858, but I'm a really great dancer ! I love hip hop dancing .   Great ! I'll sing , and you can dance in our band . 
4235,Any idea about James ? He ’ s a pain in the neck .   Guess what ? He has just got the sack .   Oh , is that so ?   Exactly . 
1684, and ties .   It's not as bad as that ... We are allowed to wear more casual jackets and trousers . Besides , didn't you hear what Brian found on his desk this morning ?   What's that ?   Management decided to give him four brand new white shirts . That's their way of telling him that his new style of dressing down is not quite acceptable . 
1502,No dialogue,No response
2361, well , let me just get my coat and we'll go to the diner around the corner .   OK . 
112, here .   Thanks . Lovely day . Pity I ’ m on duty .   I ’ ll stand in with you if you like . I ’ Ve got nothing else to do .   Oh , no . I couldn ’ t possibly . 
5101, how much does it cost ?   Well , because I like you ... ninety bucks .   Ninety dollars is pretty steep . I'll take it for sixty bucks . 
2423, too . I miss you . Are you any better ?   Yes . But if I have any more soup , I think I'll die . 
7960, you'll feel more comfortable . So please try to sleep , and have meals according to Los Angeles's time .   Thank you so much .   You are welcome . Please press the button when you need any help . 
1540, it happened a week ago .   That's a crying shame . It really is !   Fortunately , she's not seriously injured . 
6426, call Federal Express for a pick-up . That way I'll get it even earlier .   That'll cost me a fortune .   Don't worry about that . I'll reimburse you as soon as I receive the package .   OK . I'll try . But I'm not sure Federal Express picks up mail in this city . If that's the case , I'll send the package through Chinese express mail service .   OK . 
5046, but I hope it doesn't inspire me to take a hammer to the client's head .   Don't worry , James . We'll get this case worked out in no time . 
9988, the bathroom plumbing needs looking at . What about the kitchen plumbing ?   Neither the kitchen nor the bathroom plumbing is working well .   Has this problem been going on for a long time ?   It just started happening last night .   I will be coming over to look at it this afternoon . Will you be there ?   I will not be home .   I can always use my key to get in , but I would prefer that you be there . 
1783,Today is your birthday . First of all , happy birthday to you !   Thank you for coming . We will have dinner outside . Eat up ! 
9974,Excuse me , waiter . Could we change our table for that one ? My wife is quite interested in the scenery .   I am sorry . That table has been booked .   It doesn't matter . This one is fine . 
9702,No dialogue,No response
978, I see them . Beautiful weather should be shared by all the people .   Ah , you changed so fast . 
5002,No dialogue,No response
7070, on Tuesday at 2:30 ?   Sure , that ’ ll be fine for me . I ’ ll come to your office so you can show how you set up these macros . 
7842, yes , I'd very much like to go .   That is great . Dinner starts at 6   I'll be there in time .   All right . Bye .   Bye . 
4394, that will be great . I need these to improve my current work performance .   Ok , then we can sign up for it together . 
3795, Lillian . Here's a little present I bought for you .   Thank you , Paul . 
6251, they are in a position of leadership and have more experience than normal account managers , but they do not directly supervise others . They are not members of the managerial staff and will not be included in our training . 
44,No dialogue,No response
7233,No dialogue,No response
8878,998 US dollars net , 12 US dollars has been deducted by the intermediary bank .   That's as it should be . When will it be paid in and credited to our account ?   It's already credited to your account . 
10419, you can add your comments . It's a great starting point for discussion   Great idea . And after all , that's the whole point of an evaluation . I almost can't wait to give it a try . 
2291, how do I get his attention ?   Well , that's easy . Walk up to him and kiss him .   I guess I asked the wrong person . 
6750, ma ’ am ?   Could you point me in the direction of the bank ? I ’ Ve lost my way .   Certainly , ma ’ am . Just take these stairs down to the first floor and turn left . You can ’ t miss it . 
4124, April Fools ' Day .   You forgot all about it , didn't you ? 
6753,I would like the two clothes washed .   No problem.madam.But I think the red sweater is not colorfast.Would you like to have it dry cleaned ?   Thank you for your reminding.Yes , please have it dry cleaned .   I will bring them to your room tomorrow afternoon . 
6552, Trust me , this car is fast !   Now for the most difficult question . What is the price tag for this lovely vehicle ?   Very affordable sir . You can take it out of this lot today with 0 % down payment and no interest for the first year ! You can test drive it now and we can sign the papers when we get back .   Great ! Let ’ s do it ! 
1031,No dialogue,No response
4587,Is breakfast served here ?   Yes.That ' s from 6:30 to 9:00 in the dinning room .   Do I have to pay extra money for it ?   No , it's already included in your room fare .   Thank you . 
4511, China .   Ok , that's all . 
2887, but they don't do much good if you don't have a well-balanced diet to start .   how do you know so much about food and dieting ?   you might not believe this , but I used to be twice the size than I am now ! 
7879, please .   Would you care for coffee or tea ?   Coffee , please . 
908, I can move in at once .   If sounds so tempting . Why not go applying for a loan from the bank ? They charge very low interest , so you can choose whether to pay up the balance in 10 or 20 years . 
734, such as bowling , badminton and squash .   Moderate exercise is really important for health . ' Life lies in movement . '   How about playing tennis with me ?   Good idea . I will take the racket . 
